id,flight_number,airline,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft,price
1,B65501,JetBlue,DFW,DEN,2025-12-21T23:45:00,2025-12-22T02:59:13.040000,B737,59.04
2,AA4677,American Airlines,SFO,ORD,2025-12-21T23:30:00,2025-12-22T03:11:22.832013,A321,200.98
3,B61068,JetBlue,ATL,JFK,2025-12-21T11:00:00,2025-12-21T16:32:43.351466,B787,965.44
4,AA745,American Airlines,SEA,JFK,2025-12-21T16:45:00,2025-12-21T22:12:23.449194,B787,601.44
5,WN5043,Southwest Airlines,MIA,BOS,2025-12-21T11:30:00,2025-12-21T17:31:29.449313,B787,519.83
6,UA7364,United Airlines,JFK,LAX,2025-12-21T08:30:00,2025-12-21T11:32:40.995731,A320,930.51
7,DL4930,Delta Air Lines,SEA,SFO,2025-12-21T10:15:00,2025-12-21T13:22:09.263780,B737,493.72
8,WN1100,Southwest Airlines,LAX,DFW,2025-12-21T07:00:00,2025-12-21T10:20:17.073061,B738,563.92
9,AA7550,American Airlines,SEA,DEN,2025-12-21T16:15:00,2025-12-21T18:58:22.418391,A320,673.57
10,UA6757,United Airlines,JFK,MIA,2025-12-21T05:45:00,2025-12-21T08:41:07.580561,B737,537.9
11,UA8632,United Airlines,SEA,ATL,2025-12-21T11:45:00,2025-12-21T17:14:14.501687,B787,984.56
12,WN7972,Southwest Airlines,SFO,SEA,2025-12-21T16:00:00,2025-12-21T18:16:35.487010,B737,320.72
13,WN7212,Southwest Airlines,JFK,BOS,2025-12-21T14:45:00,2025-12-21T16:58:25.501828,B737,434.5
14,AA8547,American Airlines,ORD,MIA,2025-12-21T21:15:00,2025-12-22T03:14:18.581343,B787,445.66
15,B61704,JetBlue,MIA,BOS,2025-12-21T15:15:00,2025-12-21T17:52:32.583672,A321,804.08
16,UA2445,United Airlines,JFK,ATL,2025-12-21T20:45:00,2025-12-22T03:02:33.038508,B787,467.11
17,DL2119,Delta Air Lines,BOS,JFK,2025-12-21T14:00:00,2025-12-21T19:41:30.802493,B787,279.01
18,DL6018,Delta Air Lines,ATL,DEN,2025-12-21T23:30:00,2025-12-22T02:56:09.859628,B738,355.76
19,DL5744,Delta Air Lines,MIA,LAX,2025-12-21T20:15:00,2025-12-21T22:56:41.071094,B738,97.32
20,WN594,Southwest Airlines,DFW,SEA,2025-12-21T15:30:00,2025-12-21T18:31:12.107363,A321,794.76
21,AA1882,American Airlines,ORD,SFO,2025-12-21T18:00:00,2025-12-21T23:48:51.529237,B787,182.61
22,UA8186,United Airlines,DFW,BOS,2025-12-21T10:15:00,2025-12-21T12:58:35.350571,A320,435.42
23,AA362,American Airlines,LAX,DEN,2025-12-21T20:15:00,2025-12-21T23:06:05.702157,B737,709.2
24,UA8247,United Airlines,LAX,SFO,2025-12-21T07:30:00,2025-12-21T11:12:55.020324,A321,982.77
25,B67893,JetBlue,DFW,ORD,2025-12-21T06:30:00,2025-12-21T12:16:35.713798,B787,937.52
26,UA2837,United Airlines,SFO,SEA,2025-12-21T15:00:00,2025-12-21T18:12:04.660539,A320,565.84
27,DL8561,Delta Air Lines,DEN,ORD,2025-12-21T06:15:00,2025-12-21T08:45:20.361433,B737,651.16
28,UA6621,United Airlines,DEN,ATL,2025-12-21T18:15:00,2025-12-21T20:49:47.296812,A320,412.59
29,UA5484,United Airlines,ATL,DEN,2025-12-21T13:15:00,2025-12-21T15:58:33.511929,B737,604.9
30,DL5167,Delta Air Lines,ATL,SEA,2025-12-21T09:45:00,2025-12-21T12:37:45.457474,B738,304.33
31,DL8730,Delta Air Lines,DEN,JFK,2025-12-21T05:00:00,2025-12-21T10:52:04.161659,B787,569.84
32,UA5475,United Airlines,MIA,JFK,2025-12-21T21:45:00,2025-12-21T23:53:20.463778,A320,681.29
33,DL4308,Delta Air Lines,DFW,BOS,2025-12-21T19:15:00,2025-12-21T21:23:49.697872,B737,983.4
34,WN8478,Southwest Airlines,LAX,MIA,2025-12-21T22:45:00,2025-12-22T01:34:09.924956,A320,626.64
35,AA7718,American Airlines,BOS,SEA,2025-12-21T21:00:00,2025-12-21T23:22:21.951431,B737,708.48
36,DL5443,Delta Air Lines,ORD,SEA,2025-12-21T22:30:00,2025-12-22T02:13:02.870434,A321,347.77
37,AA763,American Airlines,ATL,DFW,2025-12-21T22:00:00,2025-12-22T00:16:29.568030,B737,731.35
38,DL4698,Delta Air Lines,JFK,MIA,2025-12-21T23:00:00,2025-12-22T02:04:02.579578,A320,896.1
39,AA3353,American Airlines,DEN,ATL,2025-12-21T08:30:00,2025-12-21T11:00:17.897205,B737,569.23
